Name,Chain,Address,Lat,Lng,Arktika,Arktika eriti kange,X-TREME,Black
Abacus Tankla,Muu,Tartumaa Reola,58.3004756,26.6942977,,,,
Alko1000 Tartu,Alko1000,Tehnika tänav 13 Tartu,58.3477959,26.7436424,,,,
Alko1000 Viljandi,Alko1000,"Lossi 41a, 71007, Viljandi",58.3677712,25.6002181,,,,
Alko1000 Võru,Alko1000,Pikk tänav 2a Võru,57.8420269,27.0215315,,,,
Anna Kütus,Muu,"Anna Küla, Paide vald, Järvamaa",59.0050005,25.6023141,,,,
Calle Estonia OÜ,Muu,"Ahtri tn 9 Kesklinna linnaosa, Tallinn Harju maakond",59.4398291,24.7612686,,,,
Cannashop Võru,Muu,"Kooli 6, Võru, 65606 Võru maakond",57.8459535,27.008621,,,,
Circle K Adavere,Circle K,"Adavere alevik, Põltsamaa vald, 48001 Jõgevamaa",58.7081824,25.8973975,,,,
Circle K Aravete,Circle K,"Märjandi küla, Ambla vald, 73513 Järvamaa",59.1964384,25.8549287,,,,
Circle K Balti jaama pood,Circle K,"Toompuiestee 37, 10133, Tallinn",59.4407022,24.7377017,,,,
Circle K Endla,Circle K,"Endla, Endla 52, 10613 Tallinn",59.427876,24.7193724,,,,
Circle K Haljala,Circle K,"Rakvere mnt 26, Haljala alevik, 45301 Lääne-Virumaa",59.4265363,26.2692368,,,,
Circle K Häädemeeste,Circle K,"Arumetsa küla, Häädemeeste vald, 86006 Pärnumaa",58.0664831,24.5405139,,,,
Circle K Jõhvi Narva mnt,Circle K,"Narva mnt 147, 41536 Jõhvi",59.3627471,27.4623506,,,,
Circle K Jõhvi Tallinna mnt,Circle K,"Rakvere 40, 41532 Jõhvi",59.3674849,27.3939446,,,,
Circle K Jõhvi Tartu mnt,Circle K,"Tartu mnt 26, 41538 Jõhvi",59.3511926,27.408188,,,,
Circle K Järve,Circle K,"Pärnu mnt 180, 11316 Tallinn",59.402496,24.7287793,,,,
Circle K Järvevana,Circle K,"Järvevana tee 2, 10132 Tallinn",59.4227875,24.7865589,,,,
Circle K Jüri,Circle K,"Uus-Ringi tee 14, Jüri, 75305 Harju maakond",59.3587876,24.8942273,,,,
Circle K Katusepapi,Circle K,"Katusepapi tee 37, 11412 Tallinn",59.4253411,24.7928697,,,,
Circle K Keila,Circle K,"Ülejõe, Tutermaa küla, 76608 Keila",59.30955,24.4380582,,,,
Circle K Kohtla-Järve,Circle K,"Kalevi 37a, 30323 Kohtla-Järve",59.409872,27.2779695,,,,
